StudyHours,Attendance,PreviousMarks,Result
5.6,57.4,57.8,Pass
5.1,87.1,100.0,Pass
1.6,70.9,26.6,Fail
6.8,77.0,48.0,Pass
7.9,64.7,60.0,Pass
5.9,100.0,23.5,Pass
5.0,51.6,77.8,Pass
7.4,67.6,59.8,Pass
2.8,83.0,98.2,Pass
5.3,76.1,94.8,Pass
1.7,80.5,30.3,Fail
2.2,55.7,33.8,Fail
4.3,74.3,56.9,Fail
3.6,81.4,75.7,Pass
6.4,90.1,73.0,Pass
1.6,98.1,67.6,Pass
3.3,42.3,78.8,Fail
5.8,47.4,50.3,Fail
5.2,80.4,82.2,Pass
2.9,48.2,87.7,Pass
3.6,82.5,71.0,Pass
2.4,67.0,48.1,Pass
6.9,63.9,93.3,Pass
1.5,84.2,5.0,Fail
4.4,81.2,43.1,Fail
2.0,44.3,4.5,Fail
6.6,50.0,22.1,Fail
7.8,100.0,51.5,Pass
6.9,80.7,79.9,Pass
3.0,40.0,71.7,Fail
6.1,98.7,73.7,Pass
0.0,51.0,28.6,Fail
7.7,89.0,52.5,Pass
7.3,98.9,65.3,Pass
4.0,58.8,47.2,Pass
5.7,94.4,94.8,Pass
6.6,70.6,60.4,Pass
5.8,73.4,34.8,Pass
5.4,57.5,19.2,Fail
4.4,49.4,42.4,Fail
5.4,62.1,51.8,Fail
2.1,57.2,28.0,Fail
2.1,60.7,45.4,Pass
5.0,68.3,51.6,Fail
2.9,68.8,95.2,Pass
6.4,56.6,93.9,Fail
5.9,88.0,22.9,Pass
3.3,60.0,84.2,Fail
7.8,75.4,58.5,Pass
4.4,84.8,60.7,Fail
7.1,77.6,45.6,Pass
3.9,57.5,19.4,Fail
7.7,55.8,64.6,Pass
3.1,62.9,43.2,Fail
4.8,48.0,75.4,Fail
2.6,76.2,51.8,Pass
2.5,92.9,72.7,Pass
2.1,63.3,90.0,Pass
6.3,54.1,56.5,Fail
9.5,87.9,48.5,Pass
5.8,80.2,61.1,Pass
5.3,76.4,59.4,Pass
6.6,67.3,78.7,Fail
6.9,81.0,66.6,Pass
0.8,64.4,19.1,Fail
0.0,96.5,41.9,Fail
5.6,42.4,69.4,Pass
7.9,76.5,81.3,Pass
1.0,84.2,51.0,Fail
8.1,91.3,51.6,Pass
8.0,81.7,78.3,Pass
5.4,90.4,40.6,Pass
6.7,55.7,23.7,Fail
4.7,91.1,89.9,Pass
6.9,82.9,65.8,Pass
5.6,53.8,66.0,Fail
7.7,59.0,69.3,Pass
8.4,89.4,56.0,Pass
7.2,100.0,76.0,Pass
3.9,86.0,57.0,Pass
7.6,91.4,59.0,Pass
2.2,60.3,26.4,Fail
6.3,68.8,61.4,Fail
8.7,75.9,83.3,Pass
3.7,80.0,46.3,Fail
4.6,77.4,58.6,Pass
6.7,58.3,63.0,Fail
7.4,70.2,40.5,Fail
5.5,48.6,55.0,Pass
3.4,68.5,42.7,Fail
6.5,81.7,60.5,Pass
4.5,74.4,66.1,Fail
8.9,83.7,67.6,Pass
1.1,52.5,81.3,Pass
6.4,100.0,48.3,Pass
1.0,70.2,72.8,Fail
7.8,75.0,69.1,Pass
2.4,71.1,61.0,Pass
5.6,74.0,45.9,Pass
1.6,54.8,64.1,Fail
11.2,82.1,77.6,Pass
1.3,53.6,32.8,Fail
7.7,100.0,77.5,Pass
9.1,100.0,58.7,Pass
5.4,52.5,73.9,Pass
5.0,76.2,46.5,Pass
4.5,95.1,60.5,Fail
3.5,72.4,80.4,Pass
8.2,78.3,94.7,Pass
0.7,49.0,36.6,Fail
5.1,68.8,81.3,Pass
3.9,40.0,44.2,Fail
4.6,61.9,72.0,Pass
3.9,51.2,49.9,Fail
7.0,67.9,47.7,Fail
6.3,57.0,98.8,Pass
1.4,97.3,28.7,Pass
6.4,85.0,66.2,Pass
4.5,75.9,89.3,Pass
3.5,73.5,60.9,Fail
2.5,75.1,33.0,Fail
0.7,56.7,68.9,Fail
1.9,59.0,77.1,Fail
7.0,64.8,65.6,Fail
3.1,80.8,25.1,Fail
6.3,84.9,31.2,Pass
6.6,81.3,52.8,Pass
1.6,81.2,39.3,Fail
2.8,81.3,39.6,Fail
5.4,96.7,59.8,Fail
7.1,94.3,67.7,Pass
4.5,55.1,64.2,Fail
3.9,92.6,43.0,Fail
3.1,72.8,79.3,Pass
8.5,100.0,51.8,Pass
5.1,86.8,54.3,Pass
2.0,68.9,74.5,Fail
7.9,100.0,41.5,Pass
5.9,40.0,55.6,Fail
4.1,69.9,36.6,Fail
6.2,73.6,45.8,Pass
3.0,84.9,11.2,Fail
4.2,73.4,87.4,Pass
4.0,60.4,54.2,Fail
8.9,63.2,66.2,Fail
4.7,64.8,63.7,Fail
2.2,66.1,31.4,Fail
4.2,87.1,64.4,Pass
4.1,69.8,57.4,Fail
4.5,65.7,45.2,Fail
2.9,71.1,65.2,Pass
2.8,78.8,55.4,Fail
2.2,65.8,67.7,Pass
5.9,54.8,39.1,Fail
2.4,85.0,71.5,Pass
0.6,48.4,58.4,Fail
3.9,83.8,96.2,Pass
4.2,70.1,83.4,Pass
4.4,55.4,51.7,Fail
3.3,76.6,33.3,Fail
5.9,63.6,75.6,Pass
5.3,53.1,98.7,Pass
10.0,65.2,37.3,Pass
0.9,74.6,37.6,Fail
7.9,71.9,45.8,Fail
3.7,70.9,53.8,Fail
3.0,49.1,31.7,Fail
2.1,50.9,33.8,Fail
8.8,100.0,22.8,Fail
10.4,45.8,69.8,Pass
5.7,72.3,98.5,Fail
1.8,76.8,63.0,Fail
5.8,68.1,92.5,Pass
3.1,63.8,80.8,Fail
7.1,76.6,75.5,Pass
0.1,51.4,85.9,Fail
3.8,71.1,0.0,Fail
5.4,60.8,0.0,Fail
2.9,40.0,56.0,Fail
3.2,63.8,69.4,Fail
5.2,74.7,29.0,Fail
4.9,78.2,84.8,Pass
7.8,90.8,79.2,Pass
3.5,100.0,75.3,Fail
3.7,65.2,43.9,Fail
3.6,87.9,82.1,Pass
3.7,58.3,28.1,Fail
4.0,74.7,52.8,Fail
3.3,76.9,70.1,Pass
10.4,90.6,58.2,Pass
4.5,57.9,87.0,Pass
5.5,49.0,58.8,Fail
2.5,92.7,71.1,Pass
3.0,47.9,51.7,Fail
7.4,79.0,54.5,Pass
4.6,79.5,30.4,Fail
3.6,80.3,84.8,Pass
7.8,76.2,78.3,Pass
5.5,56.3,82.3,Pass
3.0,63.7,33.9,Fail
2.5,40.0,52.1,Fail
4.3,71.2,44.0,Pass
2.8,59.5,57.4,Fail
2.3,79.1,46.3,Fail
10.4,73.2,73.5,Pass
5.8,94.1,68.8,Pass
3.9,51.1,53.8,Pass
3.0,86.8,100.0,Pass
6.6,69.5,52.1,Pass
3.6,40.0,41.6,Fail
3.3,82.4,55.6,Pass
0.0,40.0,73.3,Fail
2.9,77.5,64.1,Pass
4.6,68.2,32.7,Pass
3.3,96.8,77.3,Fail
3.3,73.4,42.5,Fail
5.1,74.8,71.9,Pass
8.1,82.3,77.8,Pass
5.6,93.6,69.5,Pass
5.3,41.2,44.2,Fail
6.3,89.0,83.4,Pass
7.3,61.6,79.3,Pass
1.2,83.1,25.1,Fail
5.5,52.6,11.4,Fail
4.2,54.6,13.7,Fail
7.4,51.4,43.1,Fail
0.9,72.4,38.9,Fail
6.9,44.2,88.0,Fail
3.3,99.0,57.4,Fail
5.7,55.9,18.1,Fail
3.7,66.1,74.3,Fail
6.5,63.3,45.9,Fail
4.9,61.3,61.5,Pass
4.8,61.8,86.1,Fail
5.2,54.3,68.4,Fail
3.9,70.9,34.5,Fail
3.1,56.5,61.2,Fail
5.8,67.4,33.4,Pass
6.0,65.3,60.8,Fail
4.0,90.1,78.6,Pass
7.9,100.0,49.4,Pass
0.9,40.0,72.7,Fail
6.9,59.6,65.9,Pass
4.1,40.7,55.8,Fail
7.1,72.8,74.4,Pass
6.5,71.9,62.4,Pass
2.5,63.2,84.0,Fail
5.4,86.0,46.6,Fail
4.8,44.9,34.9,Pass
4.2,40.0,46.7,Fail
7.1,83.8,76.6,Fail
6.7,89.4,73.8,Pass
3.4,94.5,75.9,Pass
3.6,78.7,82.0,Fail
1.6,68.1,7.7,Fail
5.2,41.7,22.1,Fail
4.7,65.2,88.8,Pass
1.5,78.2,57.6,Fail
4.6,63.3,39.3,Pass
5.1,96.4,48.4,Pass
2.6,40.7,37.6,Fail
5.2,84.9,85.6,Pass
3.7,66.7,100.0,Fail
0.0,79.8,45.9,Fail
6.7,49.5,11.7,Fail
1.8,88.7,89.5,Fail
2.4,40.0,16.8,Fail
5.2,68.3,35.2,Fail
5.9,54.2,58.6,Pass
2.3,45.1,47.4,Fail
4.9,69.9,80.6,Fail
2.9,76.3,38.4,Fail
4.4,86.7,31.2,Fail
1.2,40.1,56.8,Fail
5.0,87.4,58.4,Pass
5.5,53.7,53.5,Fail
9.8,71.3,84.7,Pass
6.1,68.7,72.1,Pass
5.0,63.9,68.1,Pass
8.3,40.0,47.9,Fail
5.3,66.9,33.8,Fail
6.0,53.6,46.5,Fail
3.1,52.9,43.7,Fail
8.3,64.6,56.3,Pass
3.8,93.4,37.5,Fail
7.2,83.7,68.3,Pass
0.0,57.9,47.7,Fail
3.2,69.6,12.6,Fail
9.8,66.5,35.7,Pass
6.7,90.4,63.0,Pass
4.2,82.1,65.4,Pass
3.4,62.3,60.3,Fail
2.7,67.3,35.6,Pass
0.4,60.2,56.1,Fail
3.8,50.5,34.1,Fail
9.1,77.9,88.8,Pass
5.2,94.0,40.3,Pass
2.2,91.0,35.9,Fail
5.6,84.7,81.7,Pass
6.9,69.6,55.7,Pass
5.1,64.9,61.1,Pass
6.6,78.3,94.7,Pass
5.9,81.8,39.0,Fail
5.1,77.9,88.5,Pass
4.0,90.8,59.3,Fail
2.7,69.9,76.0,Fail
7.3,40.0,36.0,Fail
4.4,67.0,51.0,Pass
4.4,56.9,60.2,Fail
12.0,93.3,75.4,Pass
3.1,41.1,77.2,Fail
3.1,69.4,35.7,Pass
1.3,49.8,85.0,Fail
5.2,40.0,52.2,Fail
5.5,63.8,68.0,Fail
2.7,78.5,48.9,Fail
1.0,57.1,26.2,Fail
3.3,76.8,43.0,Pass
2.7,98.1,73.0,Pass
2.8,46.4,92.9,Pass
6.4,69.5,78.5,Pass
9.5,97.1,42.0,Pass
9.6,58.6,49.9,Pass
3.9,43.7,27.6,Fail
2.7,67.0,73.4,Fail
3.5,83.5,56.3,Fail
6.4,86.8,64.3,Fail
6.8,63.1,44.4,Fail
2.6,67.7,31.4,Pass
0.2,86.6,41.1,Fail
3.8,69.5,46.0,Fail
4.3,96.5,95.0,Pass
4.0,73.2,64.9,Fail
4.1,65.3,30.0,Fail
3.4,67.7,38.0,Fail
2.2,86.2,11.5,Fail
2.1,58.8,43.1,Fail
4.4,97.5,100.0,Pass
1.7,73.2,72.0,Pass
6.1,64.6,80.6,Fail
5.3,79.1,64.1,Fail
1.6,98.1,69.4,Pass
2.2,46.7,23.0,Pass
3.3,48.9,16.3,Fail
5.5,71.1,50.8,Fail
2.4,59.1,100.0,Pass
3.9,100.0,41.1,Fail
2.7,83.2,17.4,Fail
6.0,60.2,31.7,Fail
5.9,84.5,33.5,Fail
4.3,99.1,56.0,Pass
2.8,100.0,91.9,Pass
7.3,91.1,99.1,Pass
1.4,72.5,39.8,Fail
5.8,85.4,96.9,Pass
2.9,67.3,51.5,Pass
7.3,100.0,18.0,Pass
2.3,82.9,55.3,Pass
1.7,62.8,35.6,Fail
4.6,79.7,83.4,Pass
3.2,78.1,49.0,Fail
7.0,62.6,89.9,Pass
3.5,60.4,29.5,Pass
5.1,72.4,35.2,Pass
3.8,70.9,27.4,Fail
6.7,87.4,53.0,Pass
4.4,81.6,34.1,Pass
7.2,73.6,58.8,Pass
5.3,70.6,34.0,Fail
8.4,89.9,85.6,Pass
3.7,61.1,62.7,Fail
3.6,76.1,36.5,Fail
2.2,66.8,23.3,Fail
0.1,47.6,11.6,Fail
5.1,84.9,100.0,Pass
4.5,100.0,73.8,Pass
3.0,69.2,78.8,Fail
2.8,69.7,50.9,Pass
5.9,93.5,62.8,Pass
3.7,69.5,50.6,Pass
3.7,98.9,64.6,Pass
3.2,52.9,41.5,Fail
1.5,62.4,75.3,Fail
4.1,75.2,69.4,Fail
1.2,86.0,47.0,Pass
3.1,88.8,76.8,Fail
5.4,100.0,76.7,Pass
5.7,52.5,48.6,Fail
7.3,58.3,45.3,Pass
6.6,82.9,47.0,Fail
2.9,100.0,63.1,Fail
0.2,84.8,83.3,Pass
3.5,89.3,42.5,Fail
2.3,51.2,9.4,Fail
3.0,56.7,75.1,Pass
1.2,75.0,70.5,Pass
0.5,54.6,51.7,Fail
7.1,40.8,43.2,Fail
3.3,63.9,86.4,Pass
3.3,85.0,44.8,Fail
2.4,53.0,28.4,Fail
3.1,65.5,54.1,Fail
1.3,75.8,80.2,Fail
6.9,54.5,59.3,Pass
2.3,58.6,52.6,Fail
4.4,69.9,78.7,Pass
8.8,62.9,67.4,Fail
8.8,100.0,90.1,Pass
6.3,72.5,100.0,Pass
0.6,46.4,53.6,Fail
2.2,63.8,62.1,Fail
3.5,72.4,74.9,Fail
2.2,67.0,21.1,Fail
8.6,52.3,81.2,Pass
8.5,100.0,76.8,Pass
6.5,100.0,35.4,Pass
3.3,60.3,50.9,Fail
9.4,69.2,23.8,Pass
5.5,75.4,60.1,Pass
3.8,92.5,66.3,Pass
3.3,95.3,45.3,Pass
7.1,65.9,51.1,Pass
7.4,71.3,98.6,Pass
6.8,63.0,62.7,Pass
7.4,40.0,32.5,Fail
6.9,81.3,69.0,Pass
9.5,97.4,55.8,Pass
6.0,94.0,50.2,Pass
6.5,91.7,78.8,Pass
5.5,77.5,47.1,Pass
3.7,78.7,48.4,Fail
1.7,81.8,94.7,Fail
5.8,56.3,64.8,Fail
3.2,56.7,41.9,Pass
3.9,82.0,82.9,Pass
5.0,100.0,71.6,Pass
6.2,52.6,9.0,Fail
4.0,80.9,45.8,Fail
3.1,44.1,53.7,Fail
2.5,100.0,35.7,Pass
3.9,86.6,6.1,Fail
10.6,58.3,39.8,Pass
6.9,40.0,43.0,Fail
4.7,40.0,58.4,Fail
3.1,51.7,68.5,Fail
6.8,67.7,54.1,Pass
4.2,56.3,64.4,Fail
3.5,67.9,35.3,Pass
10.4,100.0,84.1,Pass
6.7,70.7,73.0,Pass
10.0,97.6,50.2,Pass
3.3,62.3,77.4,Fail
7.8,57.9,80.3,Fail
4.0,100.0,61.5,Pass
5.0,67.9,41.7,Fail
0.0,59.4,11.3,Fail
3.0,84.5,67.1,Fail
3.5,58.0,44.6,Fail
3.2,80.0,64.9,Fail
4.6,47.5,22.3,Fail
6.6,76.9,34.8,Pass
8.6,88.3,73.1,Pass
6.1,96.2,23.2,Fail
8.4,85.7,70.5,Pass
4.3,100.0,68.4,Pass
5.3,64.9,25.9,Fail
5.8,80.4,70.7,Pass
5.9,80.1,75.9,Pass
8.2,97.0,74.7,Pass
7.0,58.1,57.4,Pass
5.8,72.0,74.4,Pass
1.6,76.3,58.7,Pass
3.8,100.0,70.3,Fail
2.5,82.0,71.6,Pass
0.5,65.2,36.3,Fail
6.0,63.5,67.8,Pass
1.7,73.1,81.2,Fail
2.2,61.0,27.8,Fail
